Date_adoption,Magasin,M_Me,NOM,Prénom,Recipient,Téléphone,Nom chat,Numéro identification,Date de naissance,"Adulte / 
Chaton",Sexe,Sté_Fait,"Véto 
pour sté ?",Presta restant à faire le jour de la JA,Dossier IE complet ?,year,Date dossier IE complet,"Chgt IE 
Fait",Sapca / Retour / Perdu / dcd,Date,Commentaires,"Date relance
 nouvelles",Réponse relance ?,Dernières nlles reçues,Email Sent
13/06/2026,Truffaut,M,Totv,Trucw,TotvTrucw@mail.tt,00 00 00 00 00,,123456789101112,6/1/2025,Chaton,F,x,,Stérilisation ,,,,,,,,,,,
13/06/2026,Truffaut,M,Tow,Trucx,TowTrucx@mail.tt,00 00 00 00 00,AAY,,6/1/2025,Chaton,F,,,Stérilisation ,,,,,,,,,,,
13/06/2026,Truffaut,M,Totx,Trucy,TotxTrucy@mail.tt,00 00 00 00 00,AAZ,123456789101112,6/1/2025,Chaton,F,,,Stérilisation ,,,,,,,,,,,
13/06/2026,Truffaut,M,Toty,Trucz,TotyTrucz@mail.tt,00 00 00 00 00,AAAA,123456789101112,6/1/2025,Chaton,M,,,Stérilisation ,,,,,,,,,,,
13/06/2026,Truffaut,M,Totz,Trucaa,TotzTrucaa@mail.tt,00 00 00 00 00,AAAB,123456789101112,6/1/2025,Chaton,F,x,,Stérilisation ,,,,,,,,,,,
13/06/2026,Truffaut,M,Totaa,Trucab,TotaaTrucab@mail.tt,00 00 00 00 00,AAAC,123456789101112,9/3/2025,Adulte,F,,,Stérilisation ,,,,,,,,,,,
13/06/2026,Amazonie,M,Totab,Trucac,TotabTrucac@mail.tt,00 00 00 00 00,AAAD,123456789101112,9/3/2025,Adulte,F,,,Stérilisation ,,,,,,,,,,,
13/06/2026,Amazonie,M,Toac,,Toac,00 00 00 00 00,AAAE,123456789101112,9/3/2025,Chaton,F,x,,Stérilisation ,,,,,,,,,,,
13/06/2026,Amazonie,Me,Toad,Trucad,ToadTrucad,00 00 00 00 00,AAAF,123456789101112,9/3/2025,Chaton,F,x,,Stérilisation ,,,,,,,,,,,
13/06/2026,Amazonie,Me,Tode,Trucad,TodeTrucad@mail.tt,00 00 00 00 00,AAAG,123456789101112,6/1/2025,Chaton,M,x,,Stérilisation ,,,,,,,,,,,
13/06/2026,Amazonie,Me,,Truae,Truae@mail.tt,00 00 00 00 00,AAAH,123456789101112,9/3/2025,Adulte,M,x,,Stérilisation ,,,,,,,,,,,
13/06/2026,Amazonie,Me,Todf,Trucaf,TodfTrucaf@mail.tt,00 00 00 00 00,AAAI,123456789101112,9/3/2025,Chaton,M,x,,Stérilisation ,,,,,,,,,,,
13/06/2026,Amazonie,Me,Todg,Trucaf,,00 00 00 00 00,AAAJ,123456789101112,9/3/2025,Chaton,M,x,,Stérilisation ,,,,,,,,,,,
